%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.relative_altitude
1631534974607092590,397563,1631534974598763970,,67.796257019,21.0725784302,404.059997559,24.4379997253
1631534974721426264,397564,1631534974718718142,,67.796257019,21.0725784302,404.059997559,24.4370002747
1631534974851351388,397565,1631534974846019145,,67.796257019,21.0725784302,404.059997559,24.436000824
1631534974971213401,397566,1631534974968427711,,67.796257019,21.0725784302,404.059997559,24.4349994659
1631534975103107992,397567,1631534975096852647,,67.796257019,21.0725784302,404.059997559,24.4370002747
1631534975222024599,397568,1631534975218746911,,67.796257019,21.0725784302,404.070007324,24.4419994354
1631534975353317080,397569,1631534975345210796,,67.796257019,21.0725784302,404.079986572,24.4510002136
1631534975480373699,397570,1631534975474447185,,67.796257019,21.0725784302,404.089996338,24.4599990845
1631534975604323638,397571,1631534975598937507,,67.796257019,21.0725784302,404.100006104,24.4710006714
1631534975724784177,397572,1631534975719895101,,67.796257019,21.0725784302,404.109985352,24.4799995422
1631534975849818817,397573,1631534975845383564,,67.796257019,21.0725784302,404.109985352,24.4839992523
1631534975978616264,397574,1631534975968676608,,67.796257019,21.0725784302,404.109985352,24.4829998016
1631534976100127425,397575,1631534976095495532,,67.796257019,21.0725784302,404.109985352,24.4799995422
1631534976227168428,397576,1631534976218689825,,67.796257019,21.0725784302,404.109985352,24.4799995422
1631534976348319558,397577,1631534976345374829,,67.796257019,21.0725784302,404.109985352,24.482000351
1631534976479824806,397578,1631534976473646901,,67.796257019,21.0725784302,404.109985352,24.4829998016
1631534976605786196,397579,1631534976598833349,,67.796257019,21.0725784302,404.100006104,24.4769992828
1631534976724334612,397580,1631534976718884673,,67.796257019,21.0725784302,404.089996338,24.4629993439
1631534976849440516,397581,1631534976845423277,,67.796257019,21.0725784302,404.079986572,24.452999115
1631534976982036737,397582,1631534976975118770,,67.796257019,21.0725784302,404.070007324,24.4459991455
1631534977107307345,397583,1631534977101327616,,67.796257019,21.0725784302,404.070007324,24.4479999542
1631534977221403868,397584,1631534977218679938,,67.796257019,21.0725784302,404.079986572,24.452999115
1631534977350020195,397585,1631534977345102479,,67.796257019,21.0725803375,404.089996338,24.4629993439
1631534977476817871,397586,1631534977472092346,,67.796257019,21.0725803375,404.100006104,24.4780006409
1631534977602625469,397587,1631534977597792521,,67.796257019,21.0725803375,404.119995117,24.4960002899
1631534977724023350,397588,1631534977718827811,,67.796257019,21.0725803375,404.140014648,24.5170001984
1631534977848389736,397589,1631534977845255088,,67.796257019,21.0725822449,404.160003662,24.531999588
1631534977970360672,397590,1631534977968291365,,67.796257019,21.0725822449,404.160003662,24.5340003967
1631534978101818336,397591,1631534978095442160,,67.796257019,21.0725822449,404.149993896,24.5289993286
1631534978221043902,397592,1631534978218722852,,67.796257019,21.0725822449,404.140014648,24.5189990997
1631534978351263618,397593,1631534978346381678,,67.796257019,21.0725822449,404.130004883,24.5090007782
1631534978480309864,397594,1631534978474927989,,67.796257019,21.0725822449,404.119995117,24.4990005493
1631534978601651266,397595,1631534978596844877,,67.796257019,21.0725822449,404.119995117,24.4930000305
1631534978722888731,397596,1631534978718614565,,67.796257019,21.0725822449,404.119995117,24.4920005798
1631534978852367712,397597,1631534978845240882,,67.796257019,21.0725822449,404.109985352,24.4880008698
1631534978971873822,397598,1631534978968894117,,67.796257019,21.0725822449,404.109985352,24.4850006104
1631534979104675611,397599,1631534979100361766,,67.796257019,21.0725822449,404.109985352,24.4829998016
1631534979221123328,397600,1631534979218755078,,67.796257019,21.0725822449,404.109985352,24.4799995422
1631534979354818331,397601,1631534979345780721,,67.796257019,21.0725822449,404.100006104,24.4769992828
1631534979484000545,397602,1631534979477797232,,67.796257019,21.0725822449,404.100006104,24.4759998322
1631534979603443743,397603,1631534979597189838,,67.796257019,21.0725822449,404.100006104,24.4740009308
1631534979724126106,397604,1631534979718938407,,67.796257019,21.0725822449,404.100006104,24.4710006714
1631534979851048262,397605,1631534979845502387,,67.796257019,21.0725822449,404.089996338,24.4689998627
1631534979970195940,397606,1631534979968323177,,67.796257019,21.0725822449,404.089996338,24.466999054
1631534980103356288,397607,1631534980097963886,,67.796257019,21.0725803375,404.089996338,24.466999054
1631534980222913694,397608,1631534980219193095,,67.796257019,21.0725803375,404.089996338,24.466999054
1631534980354754078,397609,1631534980345649588,,67.796257019,21.0725803375,404.089996338,24.468000412
1631534980477134484,397610,1631534980473358749,,67.796257019,21.0725803375,404.100006104,24.4699993134
1631534980604296031,397611,1631534980597051985,,67.796257019,21.0725803375,404.100006104,24.4729995728
1631534980724415099,397612,1631534980718633641,,67.796257019,21.0725803375,404.100006104,24.4759998322
1631534980853702433,397613,1631534980845366934,,67.796257019,21.0725803375,404.109985352,24.4810009003
1631534980971072164,397614,1631534980968420203,,67.796257019,21.0725803375,404.109985352,24.4839992523
1631534981102880036,397615,1631534981098687054,,67.796257019,21.0725803375,404.109985352,24.486000061
1631534981223896382,397616,1631534981218878858,,67.796257019,21.0725803375,404.109985352,24.4869995117
1631534981355331454,397617,1631534981345687830,,67.796257019,21.0725803375,404.109985352,24.4880008698
1631534981481928139,397618,1631534981473952990,,67.796257019,21.0725803375,404.119995117,24.4909992218
1631534981601758216,397619,1631534981596363829,,67.796257019,21.0725803375,404.119995117,24.4909992218
1631534981724402206,397620,1631534981718545740,,67.796257019,21.0725803375,404.119995117,24.4920005798
1631534981853618948,397621,1631534981845142744,,67.796257019,21.0725803375,404.119995117,24.4939994812
1631534981976073018,397622,1631534981968479373,,67.796257019,21.0725803375,404.119995117,24.4939994812
1631534982104405443,397623,1631534982098330897,,67.796257019,21.0725803375,404.109985352,24.4890003204
1631534982221902725,397624,1631534982218873868,,67.796257019,21.0725803375,404.109985352,24.4810009003
1631534982353703813,397625,1631534982345218138,,67.796257019,21.0725803375,404.100006104,24.4759998322
1631534982476790714,397626,1631534982474443296,,67.796257019,21.0725784302,404.100006104,24.4740009308
1631534982601109932,397627,1631534982596071160,,67.796257019,21.0725784302,404.100006104,24.4720001221
1631534982721915046,397628,1631534982718744942,,67.796257019,21.0725784302,404.100006104,24.4710006714
1631534982856806111,397629,1631534982845355162,,67.796257019,21.0725784302,404.100006104,24.4710006714
1631534982973811202,397630,1631534982969038094,,67.796257019,21.0725784302,404.100006104,24.4729995728
1631534983112320114,397631,1631534983105983553,,67.796257019,21.0725784302,404.100006104,24.4769992828
1631534983221555848,397632,1631534983218711983,,67.796257019,21.0725784302,404.100006104,24.4729995728
1631534983355231524,397633,1631534983347129399,,67.796257019,21.0725784302,404.089996338,24.4650001526
1631534983473659876,397634,1631534983470103213,,67.796257019,21.0725784302,404.079986572,24.4549999237
1631534983612263155,397635,1631534983602590027,,67.796257019,21.0725784302,404.079986572,24.454000473
1631534983725548736,397636,1631534983718656433,,67.796257019,21.0725784302,404.089996338,24.4619998932
1631534983858080478,397637,1631534983851190543,,67.796257019,21.0725784302,404.100006104,24.4759998322
1631534983970163566,397638,1631534983968314578,,67.796257019,21.0725784302,404.119995117,24.4909992218
1631534984100632305,397639,1631534984098099959,,67.796257019,21.0725784302,404.130004883,24.5020008087
1631534984223063144,397640,1631534984219721808,,67.796257019,21.0725784302,404.130004883,24.5090007782
1631534984350218867,397641,1631534984345372350,,67.796257019,21.0725784302,404.140014648,24.513999939
1631534984475247779,397642,1631534984472544425,,67.796257019,21.0725784302,404.140014648,24.5189990997
1631534984604720808,397643,1631534984600293043,,67.796257019,21.0725784302,404.149993896,24.5230007172
1631534984725022788,397644,1631534984719118483,,67.796257019,21.0725784302,404.149993896,24.5240001678
1631534984852720782,397645,1631534984845478432,,67.796257019,21.0725784302,404.149993896,24.5209999084
1631534984970543728,397646,1631534984968263157,,67.796257019,21.0725784302,404.140014648,24.5170001984
1631534985099268119,397647,1631534985095858335,,67.796257019,21.0725784302,404.140014648,24.5119991302
1631534985220822928,397648,1631534985218085398,,67.796257019,21.0725784302,404.130004883,24.5079994202
1631534985353778061,397649,1631534985345255586,,67.796257019,21.0725803375,404.130004883,24.5
1631534985475843876,397650,1631534985470113746,,67.796257019,21.0725803375,404.109985352,24.482000351
1631534985608920001,397651,1631534985600061911,,67.796257019,21.0725803375,404.089996338,24.4650001526
1631534985723988426,397652,1631534985720116435,,67.796257019,21.0725803375,404.079986572,24.452999115
1631534985853434127,397653,1631534985846433600,,67.796257019,21.0725803375,404.079986572,24.4510002136
1631534985970530835,397654,1631534985968222328,,67.796257019,21.0725803375,404.079986572,24.4510002136
1631534986104780333,397655,1631534986095359716,,67.796257019,21.0725803375,404.070007324,24.4459991455
1631534986221183154,397656,1631534986218932855,,67.796257019,21.0725803375,404.059997559,24.4349994659
1631534986352658579,397657,1631534986345272389,,67.796257019,21.0725803375,404.049987793,24.4249992371
1631534986478465185,397658,1631534986474938602,,67.796257019,21.0725784302,404.040008545,24.4190006256
1631534986603949584,397659,1631534986600888888,,67.796257019,21.0725784302,404.049987793,24.420999527
1631534986721903378,397660,1631534986719653815,,67.796257019,21.0725784302,404.059997559,24.4309997559
1631534986853843185,397661,1631534986845205606,,67.796257019,21.0725784302,404.070007324,24.4430007935
1631534986972433009,397662,1631534986968176412,,67.796257019,21.0725784302,404.079986572,24.4559993744
1631534987100767226,397663,1631534987096196005,,67.796257019,21.0725784302,404.100006104,24.4699993134
1631534987222758289,397664,1631534987218836251,,67.796257019,21.0725784302,404.109985352,24.4869995117
1631534987352187575,397665,1631534987345213544,,67.796257019,21.0725784302,404.130004883,24.5060005188
1631534987482254683,397666,1631534987475295660,,67.796257019,21.0725784302,404.140014648,24.5189990997
1631534987603757044,397667,1631534987600119485,,67.796257019,21.0725784302,404.149993896,24.5289993286
1631534987724422479,397668,1631534987718607453,,67.796257019,21.0725784302,404.160003662,24.5300006866
1631534987853627733,397669,1631534987845916200,,67.796257019,21.0725784302,404.149993896,24.5289993286
1631534987977216905,397670,1631534987968708766,,67.796257019,21.0725784302,404.149993896,24.5289993286
1631534988101387995,397671,1631534988095107627,,67.796257019,21.0725784302,404.140014648,24.5149993896
1631534988223208403,397672,1631534988218756254,,67.796257019,21.0725784302,404.119995117,24.4930000305
1631534988352726425,397673,1631534988347705061,,67.796257019,21.0725784302,404.089996338,24.4689998627
1631534988476237933,397674,1631534988473681267,,67.796257019,21.0725784302,404.079986572,24.4519996643
1631534988604160630,397675,1631534988598905731,,67.796257019,21.0725765228,404.059997559,24.438999176
1631534988721876696,397676,1631534988718709120,,67.796257019,21.0725765228,404.059997559,24.4319992065
1631534988851324638,397677,1631534988845225037,,67.796257019,21.0725765228,404.049987793,24.4279994965
1631534988971504826,397678,1631534988968953472,,67.796257019,21.0725765228,404.059997559,24.4309997559
1631534989104518839,397679,1631534989096525994,,67.796257019,21.0725765228,404.059997559,24.438999176
1631534989228779209,397680,1631534989226282479,,67.796257019,21.0725765228,404.079986572,24.4519996643
1631534989357180977,397681,1631534989348739558,,67.796257019,21.0725765228,404.089996338,24.466999054
1631534989473345335,397682,1631534989471175293,,67.796257019,21.0725765228,404.109985352,24.4829998016
1631534989604944760,397683,1631534989598248616,,67.796257019,21.0725765228,404.130004883,24.5009994507
1631534989727954605,397684,1631534989718811555,,67.796257019,21.0725765228,404.140014648,24.5170001984
1631534989848193897,397685,1631534989845069009,,67.796257019,21.0725765228,404.160003662,24.5300006866
1631534989972997850,397686,1631534989968363397,,67.796257019,21.0725765228,404.160003662,24.5380001068
1631534990106013687,397687,1631534990100436709,,67.796257019,21.0725765228,404.170013428,24.547000885
1631534990219272836,397688,1631534990218077895,,67.796257019,21.0725765228,404.179992676,24.5590000153
1631534990352123713,397689,1631534990345168754,,67.796257019,21.0725765228,404.190002441,24.5650005341
1631534990481386311,397690,1631534990477227218,,67.796257019,21.0725765228,404.190002441,24.561000824
1631534990606639223,397691,1631534990596032593,,67.796257019,21.0725765228,404.179992676,24.5499992371
1631534990724109882,397692,1631534990718544648,,67.796257019,21.0725765228,404.160003662,24.5310001373
1631534990852358083,397693,1631534990845730131,,67.796257019,21.0725784302,404.130004883,24.5079994202
1631534990971024386,397694,1631534990968513193,,67.796257019,21.0725784302,404.109985352,24.4850006104
1631534991104736958,397695,1631534991100901479,,67.796257019,21.0725784302,404.089996338,24.4650001526
1631534991223662621,397696,1631534991218551337,,67.796257019,21.0725784302,404.070007324,24.4470005035
1631534991354170016,397697,1631534991345335574,,67.796257019,21.0725784302,404.059997559,24.436000824
1631534991477781876,397698,1631534991473483230,,67.796257019,21.0725784302,404.059997559,24.4300003052
1631534991601741703,397699,1631534991597164754,,67.796257019,21.0725784302,404.059997559,24.4319992065
1631534991724293629,397700,1631534991720359175,,67.796257019,21.0725784302,404.070007324,24.4419994354
1631534991849902412,397701,1631534991845164824,,67.796257019,21.0725784302,404.089996338,24.4599990845
1631534991971910980,397702,1631534991968346797,,67.796257019,21.0725784302,404.109985352,24.4890003204
1631534992105634911,397703,1631534992097971634,,67.796257019,21.0725784302,404.149993896,24.5219993591
1631534992225113853,397704,1631534992218660589,,67.796257019,21.0725784302,404.179992676,24.5559997559
1631534992350339661,397705,1631534992345247418,,67.796257019,21.0725803375,404.209991455,24.5890007019
1631534992472892420,397706,1631534992469490028,,67.796257019,21.0725803375,404.239990234,24.6189994812
1631534992600124719,397707,1631534992596235736,,67.796257019,21.0725803375,404.269989014,24.6480007172
1631534992723735107,397708,1631534992718755247,,67.796257019,21.0725822449,404.290008545,24.6690006256
1631534992849805489,397709,1631534992846448985,,67.796257019,21.0725822449,404.309997559,24.6840000153
1631534992974572162,397710,1631534992968288273,,67.796257019,21.0725841522,404.309997559,24.6849994659
1631534993104868805,397711,1631534993097855126,,67.796257019,21.0725841522,404.299987793,24.6700000763
1631534993221903401,397712,1631534993218635121,,67.796257019,21.0725841522,404.269989014,24.6469993591
1631534993348663637,397713,1631534993345147934,,67.796257019,21.0725841522,404.239990234,24.6180000305
1631534993476729342,397714,1631534993470475214,,67.796257019,21.0725841522,404.209991455,24.5879993439
1631534993606073252,397715,1631534993600130899,,67.7962646484,21.0725841522,404.190002441,24.5680007935
1631534993723681159,397716,1631534993719309105,,67.7962646484,21.0725841522,404.190002441,24.5650005341
1631534993852534702,397717,1631534993845084064,,67.7962646484,21.0725841522,404.200012207,24.579000473
1631534993973592776,397718,1631534993968407829,,67.7962646484,21.0725841522,404.230010986,24.6060009003
1631534994100698003,397719,1631534994095455680,,67.7962646484,21.0725841522,404.279998779,24.6499996185
1631534994221090479,397720,1631534994218507061,,67.7962646484,21.0725841522,404.329986572,24.7089996338
1631534994354457515,397721,1631534994345258050,,67.7962722778,21.0725841522,404.410003662,24.7849998474
1631534994478641118,397722,1631534994473712554,,67.7962722778,21.0725841522,404.489990234,24.8689994812
1631534994605282218,397723,1631534994600219287,,67.7962722778,21.0725841522,404.579986572,24.9580001831
1631534994722217231,397724,1631534994718576951,,67.7962722778,21.0725860596,404.670013428,25.0480003357
1631534994855044620,397725,1631534994845728227,,67.7962722778,21.0725860596,404.779998779,25.1509990692
1631534994972290831,397726,1631534994968269145,,67.7962722778,21.0725860596,404.890014648,25.263999939
1631534995098402813,397727,1631534995095472548,,67.7962722778,21.0725879669,405.010009766,25.3880004883
1631534995218778969,397728,1631534995218110651,,67.7962799072,21.0725879669,405.140014648,25.5160007477
1631534995350589657,397729,1631534995345048999,,67.7962799072,21.0725879669,405.279998779,25.6499996185
1631534995478146979,397730,1631534995474278669,,67.7962875366,21.0725898743,405.420013428,25.7919998169
1631534995604723120,397731,1631534995600378107,,67.7962875366,21.0725917816,405.570007324,25.9440002441
1631534995722666002,397732,1631534995718649692,,67.796295166,21.0725917816,405.720001221,26.0960006714
1631534995855954830,397733,1631534995846099814,,67.796295166,21.072593689,405.890014648,26.267999649
